전략명,1군,2군,3군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
1군(1) / 2군(3) / 3군(5) 삼복,1,3,5,1,1832,1832,56,0.03056768558951965,183200.0,396700.0,213500.0,2.1653930131004366,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250309 3R (10, 8, 11) @30.0 | 부산 20250328 5R (8, 4, 12) @110.0"
1군(1) / 2군(3) / 3군(5~6) 삼복,1,3,5~6,2,1832,1832,102,0.055676855895196505,366400.0,792700.0,426300.0,2.163482532751092,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250221 8R (2, 10, 12) @709.0 | 부산 20250309 3R (10, 8, 11) @30.0"
1군(1) / 2군(3) / 3군(6) 삼복,1,3,6,1,1832,1832,46,0.025109170305676855,183200.0,396000.0,212800.0,2.1615720524017465,"부산 20250221 8R (2, 10, 12) @709.0 | 부산 20250420 6R (9, 10, 8) @9.0 | 부산 20250518 5R (2, 8, 6) @10.0"
1군(1) / 2군(3) / 3군(4~6) 삼복,1,3,4~6,3,1832,1832,178,0.09716157205240175,549600.0,1075500.0,525900.0,1.956877729257642,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 3R (12, 4, 8) @95.0"
1군(1) / 2군(3) / 3군(4~5) 삼복,1,3,4~5,2,1832,1832,132,0.07205240174672489,366400.0,679500.0,313100.0,1.8545305676855894,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 3R (12, 4, 8) @95.0"
"1군(1) / 2군(3) / 3군(4,6) 삼복",1,3,"4,6",2,1832,1832,122,0.0665938864628821,366400.0,678800.0,312400.0,1.8526200873362446,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 5R (11, 9, 6) @101.0"
1군(1) / 2군(3) / 3군(5~7) 삼복,1,3,5~7,3,1832,1832,132,0.07205240174672489,549600.0,994800.0,445200.0,1.8100436681222707,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250221 8R (2, 10, 12) @709.0 | 부산 20250309 3R (10, 8, 11) @30.0"
"1군(1,4) / 2군(3) / 3군(5) 삼복","1,4",3,5,2,1832,1832,77,0.04203056768558952,366400.0,641000.0,274600.0,1.7494541484716157,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250309 3R (10, 8, 11) @30.0 | 부산 20250328 5R (8, 4, 12) @110.0"
"1군(1) / 2군(2,5~6) / 3군(3) 삼복",1,"2,5~6",3,3,1832,1832,200,0.1091703056768559,549600.0,958500.0,408900.0,1.7439956331877728,"부산 20250105 5R (7, 8, 11) @25.0 | 부산 20250110 8R (7, 3, 8) @41.0 | 부산 20250124 8R (2, 4, 7) @69.0"
1군(1) / 2군(3) / 3군(4~7) 삼복,1,3,4~7,4,1832,1832,208,0.11353711790393013,732800.0,1277600.0,544800.0,1.7434497816593886,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 3R (12, 4, 8) @95.0"
