전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
1착(1) / 2착(2~3) / 3착(4~6) 삼쌍,1,2~3,4~6,6,1691,1691,93,0.05499704316972206,1014600.0,1781200.0,766600.0,1.7555686970234574,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250302 6R (12, 3, 6) @82.0"
"1착(1) / 2착(2,5,8) / 3착(3~4) 삼쌍",1,"2,5,8",3~4,6,1691,1691,72,0.04257835600236547,1014600.0,1744600.0,730000.0,1.7194953676325646,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250103 4R (10, 6, 12) @1708.0 | 부산 20250105 5R (7, 8, 11) @120.0"
1착(1~2) / 2착(5~6) / 3착(3~4) 삼쌍,1~2,5~6,3~4,8,1691,1691,77,0.04553518628030751,1352800.0,2319600.0,966800.0,1.7146658781785926,"부산 20250328 7R (4, 7, 12) @112.0 | 부산 20250420 6R (9, 10, 8) @62.0 | 부산 20250511 1R (7, 4, 8) @24.0"
"1착(1) / 2착(3) / 3착(2,4~8) 삼쌍",1,3,"2,4~8",6,1691,1691,79,0.04671791839148433,1014600.0,1731600.0,717000.0,1.706682436428149,"부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250302 5R (12, 3, 7) @24.0"
"1착(1) / 2착(2~3) / 3착(4,6~7) 삼쌍",1,2~3,"4,6~7",6,1691,1691,76,0.0449438202247191,1014600.0,1726600.0,712000.0,1.7017543859649122,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250302 6R (12, 3, 6) @82.0"
1착(1) / 2착(2~3) / 3착(4~7) 삼쌍,1,2~3,4~7,8,1691,1691,110,0.06505026611472502,1352800.0,2280200.0,927400.0,1.6855410999408633,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250302 6R (12, 3, 6) @82.0"
"1착(1) / 2착(2~3,8) / 3착(4~5) 삼쌍",1,"2~3,8",4~5,6,1691,1691,74,0.04376108811354228,1014600.0,1692200.0,677600.0,1.6678493987778436,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250103 4R (10, 6, 12) @1708.0 | 부산 20250110 6R (10, 6, 4) @1207.0"
1착(1) / 2착(2~4) / 3착(5~6) 삼쌍,1,2~4,5~6,6,1691,1691,91,0.05381431105854524,1014600.0,1692000.0,677400.0,1.667652276759314,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250309 3R (10, 8, 11) @440.0"
1착(1) / 2착(2~3) / 3착(5~7) 삼쌍,1,2~3,5~7,6,1691,1691,80,0.04730928444707274,1014600.0,1691400.0,676800.0,1.6670609107037255,"부산 20250309 3R (10, 8, 11) @440.0 | 부산 20250321 8R (3, 5, 2) @58.0 | 부산 20250323 5R (8, 6, 12) @166.0"
1착(1) / 2착(3~4) / 3착(5~7) 삼쌍,1,3~4,5~7,6,1691,1691,75,0.044352454169130695,1014600.0,1687400.0,672800.0,1.6631184703331363,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250309 3R (10, 8, 11) @440.0"
"1착(1) / 2착(2,4~5) / 3착(3,6) 삼쌍",1,"2,4~5","3,6",6,1691,1691,86,0.0508574807806032,1014600.0,1676600.0,662000.0,1.6524738813325448,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1) / 2착(2~3,6) / 3착(4~5) 삼쌍",1,"2~3,6",4~5,6,1691,1691,79,0.04671791839148433,1014600.0,1675700.0,661100.0,1.6515868322491623,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250302 6R (12, 3, 6) @82.0"
"1착(1) / 2착(2~3,6,8) / 3착(4~5) 삼쌍",1,"2~3,6,8",4~5,8,1691,1691,89,0.05263157894736842,1352800.0,2225500.0,872700.0,1.645106445890006,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250103 4R (10, 6, 12) @1708.0 | 부산 20250110 6R (10, 6, 4) @1207.0"
