전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(2,4,6) / 2착(1,5) / 3착(3) 삼쌍","2,4,6","1,5",3,6,1837,1837,51,0.027762656505171474,1102200.0,2838500.0,1736300.0,2.5753039375793865,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250425 2R (5, 6, 7) @121.0 | 부산 20250509 3R (3, 6, 5) @76.0"
"1착(2,4) / 2착(3) / 3착(1,5~6) 삼쌍","2,4",3,"1,5~6",6,1837,1837,51,0.027762656505171474,1102200.0,2817000.0,1714800.0,2.5557974959172562,"부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250309 1R (9, 12, 2) @80.0 | 부산 20250523 7R (4, 11, 6) @187.0"
1착(4~7) / 2착(1~2) / 3착(3) 삼쌍,4~7,1~2,3,8,1837,1837,52,0.028307022318998367,1469600.0,3710600.0,2241000.0,2.5249047359825805,"부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250214 5R (11, 10, 4) @3721.0"
"1착(2,4,6) / 2착(1) / 3착(3,5) 삼쌍","2,4,6",1,"3,5",6,1837,1837,61,0.03320631464344039,1102200.0,2728800.0,1626600.0,2.475775721284703,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250328 8R (4, 8, 6) @2360.0 | 부산 20250425 2R (5, 6, 7) @121.0"
"1착(1,7) / 2착(2,5~6) / 3착(3) 삼쌍","1,7","2,5~6",3,6,1837,1837,54,0.02939575394665215,1102200.0,2717300.0,1615100.0,2.4653420431863546,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(2,4,6) / 2착(1) / 3착(3,8) 삼쌍","2,4,6",1,"3,8",6,1837,1837,55,0.029940119760479042,1102200.0,2665600.0,1563400.0,2.418435855561604,"부산 20250105 3R (11, 4, 12) @374.0 | 부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250223 4R (9, 3, 2) @73.0"
"1착(2,4,6) / 2착(1) / 3착(3,7) 삼쌍","2,4,6",1,"3,7",6,1837,1837,52,0.028307022318998367,1102200.0,2665200.0,1563000.0,2.418072945019053,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250425 2R (5, 6, 7) @121.0 | 부산 20250509 3R (3, 6, 5) @76.0"
"1착(1,4,7) / 2착(2,6) / 3착(3) 삼쌍","1,4,7","2,6",3,6,1837,1837,53,0.02885138813282526,1102200.0,2658900.0,1556700.0,2.4123571039738705,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1~2,4) / 2착(3) / 3착(5~6) 삼쌍","1~2,4",3,5~6,6,1837,1837,62,0.033750680457267285,1102200.0,2627300.0,1525100.0,2.383687171112321,"부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250309 3R (10, 8, 11) @440.0 | 부산 20250404 6R (4, 11, 3) @112.0"
"1착(1,4) / 2착(2,5,8) / 3착(3) 삼쌍","1,4","2,5,8",3,6,1837,1837,58,0.031573217201959713,1102200.0,2621700.0,1519500.0,2.378606423516603,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250105 5R (7, 8, 11) @120.0"
"1착(1,4,7) / 2착(2,5~6) / 3착(3) 삼쌍","1,4,7","2,5~6",3,9,1837,1837,67,0.03647250952640174,1653300.0,3931700.0,2278400.0,2.378092300247989,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250126 5R (6, 1, 12) @242.0"
