전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
1착(7) / 2착(4) / 3착(6) 삼쌍,7,4,6,1,1837,1837,1,0.0005443658138268917,183700.0,1790000.0,1606300.0,9.74414806750136,"부산 20251121 8R (5, 7, 4) @17900.0"
1착(3) / 2착(7) / 3착(5) 삼쌍,3,7,5,1,1837,1837,2,0.0010887316276537834,183700.0,1587800.0,1404100.0,8.643440391943386,"부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0"
1착(6) / 2착(1) / 3착(3) 삼쌍,6,1,3,1,1837,1837,6,0.00326619488296135,183700.0,1132300.0,948600.0,6.163854109961894,"부산 20250817 1R (4, 2, 1) @47.0 | 부산 20251130 6R (12, 10, 9) @2648.0 | 서울 20250427 7R (6, 8, 4) @155.0"
1착(4) / 2착(3) / 3착(5) 삼쌍,4,3,5,1,1837,1837,7,0.003810560696788242,183700.0,1123700.0,940000.0,6.117038649972781,"부산 20250620 5R (1, 2, 7) @425.0 | 부산 20250711 3R (11, 7, 6) @2609.0 | 부산 20250711 4R (1, 8, 2) @415.0"
"1착(3,7) / 2착(4) / 3착(6) 삼쌍","3,7",4,6,2,1837,1837,3,0.001633097441480675,367400.0,2136800.0,1769400.0,5.816004354926511,"부산 20250824 6R (11, 3, 7) @212.0 | 부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20250921 11R (10, 7, 8) @3256.0"
"1착(1,7) / 2착(4) / 3착(6) 삼쌍","1,7",4,6,2,1837,1837,16,0.008709853021230268,367400.0,2086300.0,1718900.0,5.67855198693522,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250418 7R (7, 9, 8) @45.0"
"1착(7) / 2착(4) / 3착(1,6) 삼쌍",7,4,"1,6",2,1837,1837,4,0.002177463255307567,367400.0,2083700.0,1716300.0,5.671475231355471,"부산 20251002 8R (5, 3, 6) @943.0 | 부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20260125 9R (6, 10, 5) @1541.0"
"1착(2,7) / 2착(4) / 3착(6) 삼쌍","2,7",4,6,2,1837,1837,6,0.00326619488296135,367400.0,2082500.0,1715100.0,5.6682090364725095,"부산 20250525 4R (11, 6, 9) @142.0 | 부산 20250905 8R (5, 6, 2) @1842.0 | 부산 20251017 7R (10, 8, 12) @843.0"
1착(2~3) / 2착(7) / 3착(5) 삼쌍,2~3,7,5,2,1837,1837,8,0.004354926510615134,367400.0,2080700.0,1713300.0,5.6633097441480675,"부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0"
"1착(7) / 2착(4) / 3착(2,6) 삼쌍",7,4,"2,6",2,1837,1837,5,0.0027218290691344584,367400.0,2032900.0,1665500.0,5.53320631464344,"부산 20250926 7R (3, 9, 5) @1294.0 | 부산 20251019 6R (9, 10, 8) @595.0 | 부산 20251121 8R (5, 7, 4) @17900.0"
