전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(1,5,7) / 2착(4) / 3착(6,8) 삼쌍","1,5,7",4,"6,8",6,1837,1837,27,0.014697876973326075,1102200.0,3676000.0,2573800.0,3.3351478860460895,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250207 8R (6, 9, 12) @2751.0 | 부산 20250302 2R (11, 5, 3) @427.0"
"1착(2,5,7) / 2착(4) / 3착(6,8) 삼쌍","2,5,7",4,"6,8",6,1837,1837,18,0.00979858464888405,1102200.0,3598600.0,2496400.0,3.2649246960624208,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250525 4R (11, 6, 9) @142.0 | 부산 20250620 7R (4, 10, 2) @158.0"
"1착(5,7) / 2착(4) / 3착(2,6,8) 삼쌍","5,7",4,"2,6,8",6,1837,1837,13,0.007076755579749592,1102200.0,3287800.0,2185600.0,2.9829432045000908,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250620 7R (4, 10, 2) @158.0 | 부산 20250926 7R (3, 9, 5) @1294.0"
"1착(5,7) / 2착(4) / 3착(1,6,8) 삼쌍","5,7",4,"1,6,8",6,1837,1837,12,0.0065323897659227,1102200.0,3276700.0,2174500.0,2.9728724369442934,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250620 7R (4, 10, 2) @158.0 | 부산 20250822 5R (7, 4, 3) @19.0"
"1착(1~2,7) / 2착(3~4) / 3착(6) 삼쌍","1~2,7",3~4,6,6,1837,1837,46,0.025040827436037017,1102200.0,3255400.0,2153200.0,2.9535474505534385,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250418 7R (7, 9, 8) @45.0"
"1착(1~2,5,7) / 2착(4) / 3착(6,8) 삼쌍","1~2,5,7",4,"6,8",8,1837,1837,39,0.021230266739248774,1469600.0,4317000.0,2847400.0,2.9375340228633644,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250207 8R (6, 9, 12) @2751.0 | 부산 20250302 2R (11, 5, 3) @427.0"
"1착(2~3,7) / 2착(4) / 3착(1,6) 삼쌍","2~3,7",4,"1,6",6,1837,1837,34,0.018508437670114317,1102200.0,3186600.0,2084400.0,2.8911268372346215,"부산 20250209 5R (11, 9, 6) @557.0 | 부산 20250525 4R (11, 6, 9) @142.0 | 부산 20250606 8R (7, 4, 5) @282.0"
"1착(1~2,7) / 2착(4) / 3착(6,8) 삼쌍","1~2,7",4,"6,8",6,1837,1837,35,0.01905280348394121,1102200.0,3170000.0,2067800.0,2.8760660497187445,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250207 8R (6, 9, 12) @2751.0 | 부산 20250302 2R (11, 5, 3) @427.0"
"1착(4) / 2착(2~3) / 3착(1,5~6) 삼쌍",4,2~3,"1,5~6",6,1837,1837,35,0.01905280348394121,1102200.0,3099300.0,1997100.0,2.8119216113228087,"부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250309 1R (9, 12, 2) @80.0 | 부산 20250314 4R (8, 9, 3) @85.0"
"1착(2~3,7) / 2착(1,4) / 3착(6) 삼쌍","2~3,7","1,4",6,6,1837,1837,23,0.012520413718018509,1102200.0,3091800.0,1989600.0,2.8051170386499726,"부산 20250126 6R (7, 3, 9) @26.0 | 부산 20250221 8R (2, 10, 12) @4863.0 | 부산 20250525 4R (11, 6, 9) @142.0"
"1착(4,6) / 2착(1~2,8) / 3착(3) 삼쌍","4,6","1~2,8",3,6,1837,1837,38,0.020685900925421885,1102200.0,3076600.0,1974400.0,2.7913264380330247,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250117 7R (3, 9, 8) @312.0"
"1착(3,7) / 2착(4) / 3착(1~2,6) 삼쌍","3,7",4,"1~2,6",6,1837,1837,30,0.01633097441480675,1102200.0,3076000.0,1973800.0,2.790782072219198,"부산 20250209 5R (11, 9, 6) @557.0 | 부산 20250810 10R (5, 8, 4) @167.0 | 부산 20250824 6R (11, 3, 7) @212.0"
"1착(3,7) / 2착(1,4,8) / 3착(6) 삼쌍","3,7","1,4,8",6,6,1837,1837,13,0.007076755579749592,1102200.0,3073500.0,1971300.0,2.7885138813282526,"부산 20250221 8R (2, 10, 12) @4863.0 | 부산 20250425 5R (5, 12, 3) @951.0 | 부산 20250824 6R (11, 3, 7) @212.0"
"1착(4,6~7) / 2착(1~2) / 3착(3) 삼쌍","4,6~7",1~2,3,6,1837,1837,40,0.021774632553075667,1102200.0,3062600.0,1960400.0,2.7786245690437306,"부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250214 5R (11, 10, 4) @3721.0"
1착(4~6) / 2착(1~2) / 3착(3) 삼쌍,4~6,1~2,3,6,1837,1837,46,0.025040827436037017,1102200.0,3037200.0,1935000.0,2.7555797495917256,"부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250323 2R (2, 11, 8) @286.0"
"1착(3,5,7) / 2착(1,4) / 3착(6) 삼쌍","3,5,7","1,4",6,6,1837,1837,15,0.008165487207403375,1102200.0,3032600.0,1930400.0,2.7514062783523863,"부산 20250221 8R (2, 10, 12) @4863.0 | 부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250620 7R (4, 10, 2) @158.0"
"1착(1,3,5,7) / 2착(4) / 3착(6,8) 삼쌍","1,3,5,7",4,"6,8",8,1837,1837,30,0.01633097441480675,1469600.0,4032000.0,2562400.0,2.743603701687534,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250207 8R (6, 9, 12) @2751.0 | 부산 20250302 2R (11, 5, 3) @427.0"
"1착(1,3,7) / 2착(2,4) / 3착(6) 삼쌍","1,3,7","2,4",6,6,1837,1837,40,0.021774632553075667,1102200.0,3007100.0,1904900.0,2.728270731264743,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250221 7R (6, 1, 4) @627.0 | 부산 20250302 2R (11, 5, 3) @427.0"
"1착(4,7) / 2착(1~2,6) / 3착(3) 삼쌍","4,7","1~2,6",3,6,1837,1837,32,0.017419706042460535,1102200.0,3000800.0,1898600.0,2.722554890219561,"부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250216 3R (7, 6, 11) @7693.0"
"1착(3,5,7) / 2착(4) / 3착(1,6) 삼쌍","3,5,7",4,"1,6",6,1837,1837,26,0.014153511159499184,1102200.0,2997700.0,1895500.0,2.719742333514789,"부산 20250209 5R (11, 9, 6) @557.0 | 부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250620 7R (4, 10, 2) @158.0"
"1착(2~3) / 2착(7) / 3착(1,4~5) 삼쌍",2~3,7,"1,4~5",6,1837,1837,27,0.014697876973326075,1102200.0,2987400.0,1885200.0,2.7103973870440936,"부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250413 3R (7, 3, 1) @1413.0 | 부산 20250810 7R (4, 3, 6) @1578.0"
"1착(4,7) / 2착(2,6,8) / 3착(3) 삼쌍","4,7","2,6,8",3,6,1837,1837,23,0.012520413718018509,1102200.0,2986000.0,1883800.0,2.709127200145164,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250110 5R (11, 8, 5) @505.0"
"1착(3,7) / 2착(1~2,4) / 3착(6) 삼쌍","3,7","1~2,4",6,6,1837,1837,20,0.010887316276537834,1102200.0,2976200.0,1874000.0,2.700235891852658,"부산 20250221 7R (6, 1, 4) @627.0 | 부산 20250221 8R (2, 10, 12) @4863.0 | 부산 20250323 6R (8, 6, 9) @39.0"
"1착(2~3,5,7) / 2착(4) / 3착(6,8) 삼쌍","2~3,5,7",4,"6,8",8,1837,1837,21,0.011431682090364725,1469600.0,3954600.0,2485000.0,2.6909363091997824,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250525 4R (11, 6, 9) @142.0 | 부산 20250620 7R (4, 10, 2) @158.0"
"1착(4,6) / 2착(1,5,8) / 3착(3) 삼쌍","4,6","1,5,8",3,6,1837,1837,25,0.013609145345672292,1102200.0,2962100.0,1859900.0,2.6874432952277263,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250214 5R (11, 10, 4) @3721.0"
"1착(2~3,6) / 2착(1,7) / 3착(5) 삼쌍","2~3,6","1,7",5,6,1837,1837,34,0.018508437670114317,1102200.0,2961500.0,1859300.0,2.6868989294138994,"부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250209 3R (12, 4, 8) @435.0 | 부산 20250328 8R (4, 8, 6) @2360.0"
"1착(3) / 2착(1,7) / 3착(2,5~6) 삼쌍",3,"1,7","2,5~6",6,1837,1837,32,0.017419706042460535,1102200.0,2934300.0,1832100.0,2.6622210125204138,"부산 20250124 8R (2, 4, 7) @583.0 | 부산 20250209 3R (12, 4, 8) @435.0 | 부산 20250221 8R (2, 10, 12) @4863.0"
"1착(1~3,5,7~8) / 2착(4) / 3착(6) 삼쌍","1~3,5,7~8",4,6,6,1837,1837,25,0.013609145345672292,1102200.0,2931200.0,1829000.0,2.6594084558156412,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250404 8R (7, 3, 10) @1898.0"
