경마장,경주일,경주번호,경주거리,마번,경주마,프로그램최종예상순위,프로그램예상순위1,프로그램최근8경주기준예상순위,dark_score,복병코멘트
부산,20231201,5,1200,7,드림런,7,5,8,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231201,6,1400,7,바벨하트,6,5,6,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231201,7,1400,4,행복한함안,7,5,7,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231201,8,1800,3,멀티히트,11,6,10,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231201,9,1800,5,바벨히트,7,2,7,77.5,복병강 77.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231202,2,1200,11,해제여걸,8,8,6,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20231202,4,1400,5,누리데이,6,8,6,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231202,6,1300,1,지르콘,8,7,7,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231202,9,1800,1,케이엔라이트,9,9,11,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231203,4,1800,2,피플파워,7,8,7,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231203,5,1200,2,로드스타,9,9,9,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231203,1,1200,12,에덴의동쪽,5,6,5,47.5,복병주의 47.5점 · 구간강점/폼/연대OK
서울,20231203,5,1200,5,레전드케이,10,11,10,37.5,약함 37.5점 · 폼/연대OK/체중/부담안정/기수/조교OK
서울,20231203,6,1800,11,금아시크,8,9,7,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231203,7,1600,3,펄포인트,9,10,8,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231203,8,1200,9,걸작원,5,6,4,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/기수/조교OK
서울,20231203,9,1400,6,파르키우스,10,6,10,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
