경마장,경주일,경주번호,경주거리,프로그램예상순위1,프로그램최근8경주기준예상순위,경주마나이,경주마성별,부담중량,부담증량증감,마체중증감,경주마체중,마번,경주마,프로그램최종예상순위,초반200,종반600,종반200,기록점수,최근8,연대,실제순위,단승식배당율,연승식배당율,기수복승율,조교사복승율,출주주기,is_candidate,rank_diff,score_diff,p_초반200,p_종반600,p_종반200,p_기록점수,perf_best,score_perf,p_최근8,p_연대,score_stability,score_weight,p_j,p_t,score_conn,dark_score_raw,dark_score,복병코멘트,basis_dark
부산,20231201,2,1200,6,3,2.0,거,55.0,0.5,13.0,493 +13,3,섀클존,3,36.2,54.4,60.9,46.7,44.3,100.0,2,93.2,13.7,22.8,20.3,91,0,3,7.5,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,15.0,0.0,79.79776247848537,66.39414802065404,10.0,62.5,0.0,후보아님(m_rank<4),"diff 7.5/15 (|rank-r_pop|=3), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=100.0, p_jt=100.0), weight 0.0/10 (Δhandy=0.5, Δwt=13.0), conn 10.0/10 (p_j=79.8, p_t=66.4)"
부산,20231201,3,1300,6,1,2.0,암,53.0,0.0,-4.0,468 -4,4,퀸즈로드,3,15.5,88.4,87.0,74.3,50.0,100.0,1,57.6,9.0,27.8,18.8,33,0,5,12.5,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,15.0,10.0,92.66351118760757,55.2065404475043,10.0,77.5,0.0,후보아님(m_rank<4),"diff 12.5/15 (|rank-r_pop|=5), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=100.0, p_jt=100.0), weight 10.0/10 (Δhandy=0.0, Δwt=-4.0), conn 10.0/10 (p_j=92.7, p_t=55.2)"
부산,20231201,5,1200,10,10,3.0,암,54.5,2.0,-8.0,453 -8,3,다이나믹위너,11,30.4,48.2,69.3,34.7,42.8,16.2,2,74.8,12.9,11.9,14.9,145,1,0,0.0,100.0,50.0,50.0,50.0,100.0,30.0,100.0,50.0,15.0,0.0,24.268502581755595,26.183304647160067,0.0,45.0,45.0,복병주의 45.0점 · 구간강점/폼/연대OK,"diff 0.0/15 (|rank-r_pop|=0), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=100.0, p_jt=50.0), weight 0.0/10 (Δhandy=2.0, Δwt=-8.0), conn 0.0/10 (p_j=24.3, p_t=26.2)"
부산,20231201,5,1200,5,8,3.0,암,52.0,0.0,-1.0,434 -1,7,드림런,7,2.1,100.0,93.7,58.5,30.0,26.6,3,30.5,4.3,16.6,13.1,21,1,3,7.5,50.0,100.0,100.0,100.0,100.0,30.0,50.0,100.0,15.0,10.0,50.02151462994836,17.190189328743546,10.0,72.5,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK,"diff 7.5/15 (|rank-r_pop|=3), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=50.0, p_jt=100.0), weight 10.0/10 (Δhandy=0.0, Δwt=-1.0), conn 10.0/10 (p_j=50.0, p_t=17.2)"
부산,20231201,6,1400,5,6,3.0,암,55.0,1.0,0.0,478 +0,7,바벨하트,6,26.1,38.6,75.3,59.8,59.0,87.8,1,12.3,3.9,19.0,18.4,21,1,1,2.5,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,15.0,10.0,64.78055077452667,51.50602409638554,10.0,67.5,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK,"diff 2.5/15 (|rank-r_pop|=1), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=100.0, p_jt=100.0), weight 10.0/10 (Δhandy=1.0, Δwt=0.0), conn 10.0/10 (p_j=64.8, p_t=51.5)"
부산,20231201,7,1400,5,7,4.0,암,52.5,0.5,6.0,503 +6,4,행복한함안,7,34.0,68.2,57.7,71.9,79.0,38.0,2,15.1,3.2,21.7,14.4,28,1,2,5.0,100.0,50.0,100.0,100.0,100.0,30.0,100.0,50.0,15.0,10.0,75.3657487091222,23.300344234079173,10.0,70.0,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK,"diff 5.0/15 (|rank-r_pop|=2), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=100.0, p_jt=50.0), weight 10.0/10 (Δhandy=0.5, Δwt=6.0), conn 10.0/10 (p_j=75.4, p_t=23.3)"
부산,20231201,7,1400,9,8,2.0,수,52.0,-3.0,3.0,536 +3,8,글로리크라운,9,15.4,76.3,56.7,65.3,64.5,68.6,3,12.0,3.4,23.4,20.3,28,1,1,2.5,50.0,100.0,50.0,50.0,100.0,30.0,50.0,100.0,15.0,0.0,81.62650602409639,66.39414802065404,10.0,57.5,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK,"diff 2.5/15 (|rank-r_pop|=1), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=50.0, p_jt=100.0), weight 0.0/10 (Δhandy=-3.0, Δwt=3.0), conn 10.0/10 (p_j=81.6, p_t=66.4)"
부산,20231201,8,1800,6,10,3.0,수,53.0,1.0,4.0,471 +4,3,멀티히트,11,100.0,0.0,4.2,43.6,60.0,12.2,3,13.9,5.4,10.6,19.6,35,1,4,10.0,100.0,50.0,50.0,100.0,100.0,30.0,100.0,50.0,15.0,10.0,14.65146299483649,61.897590361445786,10.0,75.0,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK,"diff 10.0/15 (|rank-r_pop|=4), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=100.0, p_jt=50.0), weight 10.0/10 (Δhandy=1.0, Δwt=4.0), conn 10.0/10 (p_j=14.7, p_t=61.9)"
부산,20231201,8,1800,11,3,5.0,수,51.0,0.0,-2.0,493 -2,5,필그림,2,62.6,66.5,71.7,11.0,35.3,100.0,2,62.0,15.9,8.5,24.3,21,0,8,15.0,50.0,100.0,100.0,50.0,100.0,30.0,50.0,100.0,15.0,10.0,8.024956970740103,85.60671256454388,10.0,80.0,0.0,후보아님(m_rank<4),"diff 15.0/15 (|rank-r_pop|=8), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=50.0, p_jt=100.0), weight 10.0/10 (Δhandy=0.0, Δwt=-2.0), conn 10.0/10 (p_j=8.0, p_t=85.6)"
부산,20231201,9,1800,2,7,6.0,거,52.0,0.5,5.0,472 +5,5,바벨히트,7,70.7,58.7,74.1,75.2,41.3,7.9,2,16.5,7.7,8.5,18.4,12,1,5,12.5,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,15.0,10.0,8.024956970740103,51.50602409638554,10.0,77.5,77.5,복병강 77.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK,"diff 12.5/15 (|rank-r_pop|=5), perf 30.0/30 (best_pct=100.0), stab 15.0/15 (p_trend=100.0, p_jt=100.0), weight 10.0/10 (Δhandy=0.5, Δwt=5.0), conn 10.0/10 (p_j=8.0, p_t=51.5)"
