

제목 : 2021년 08월 13일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  17     문학토스코        프라샨트(조교승인)   주립출발불량       
     2조  5      피엔에스골드      아달쉬(조교승인)     양호               
     2조  8      옥동공주          박병윤(기수)         양호               
     2조  12     로스트워          박병윤(기수)         양호               
     2조  13     불의신화          아달쉬(조교승인)     양호               
     2조  19     애국자달려        김진규(조교승인)     양호               
     2조  25     금성환희          이동국(기수)         진입불량           
     2조  27     트레비트          이동국(기수)         진입거부           
     3조  10     러너몬스터        최원준(기수)         양호               
     3조  12     매직그라운드      민성재(조교승인)     양호               
     4조  9      케이프렌지        다비드(기수)         출발자세불량       
     4조  16     굿니센            송석현(조교승인)     양호               
     4조  18     걸작우먼          김용근(기수)         출발자세불량       
     4조  29     해피먼스          김인선(조교승인)     양호               
     5조  6      미라클호프        다비드(기수)         양호               
     5조  17     금아인빈서블      김현진(조교승인)     양호               
     6조  4      새내파워풀        이성옥(조교승인)     진입불량           
     6조  35     배다리캔디        송재철(기수)         양호               
     6조  36     안양호랑이        이혁(기수)           양호               
     7조  2      대군피닉스        이은형(조교승인)     출발자세불량       
     7조  23     피엔에스린        조만근(조교승인)     진입불량           
     8조  6      골든서비스        송재철(기수)         양호               
     8조  11     네오포스          김현민(조교승인)     진입불량           
     8조  22     투어링라니        신용민(조교승인)     양호               
     9조  10     터치나인          박승찬(조교승인)     양호               
     9조  16     온포인트          김동수(기수)         출발자세불량       
     9조  37     찬기참            최원준(기수)         출발자세불량       
     9조  38     플라잉빅터        송재철(기수)         양호               
    10조  21     동쪽글로리        장추열(기수)         양호               
    10조  37     문학에카티        김현제(조교승인)     양호               
    10조  신마   노스몰선          하영웅(조교승인)     양호               
    11조  14     퀸라이언          이형권(조교승인)     양호               
    11조  20     컴플리트챔프      김기원(조교보)       양호               
    12조  2      사우스반          강석우(조교승인)     양호               
    12조  35     디터미네이션      김찬영(조교승인)     양호               
    13조  6      달려라존          아난드(조교승인)     양호               
    13조  19     베스트야          김귀배(기수)         양호               
