

제목 : 2022년 05월 06일   제33차 출발심사결과   1경주

------------------------------------------------------------------------------------------------------------------------------
 마번  마    명           심사사유        산지 성별 연령 기승자              조교사    마주명              판정        사유
------------------------------------------------------------------------------------------------------------------------------
   2   캐츠우먼           출발미합(신)     한   암    2  윤태혁(기수)        임채덕    금악목장            불합격      진입불량          
  14   정우플라잉         출발(합격유보)   한   수    3  박현우(기수)        박천서    민용태              불합격      출발불량          
  19   퓨리오사           출발미합(신)     한   암    2  방천형(주로조교)    이신영    황경호              불합격      진입불량          
  20   나우누리           출발미합(신)     한   암    3  정필화(주로조교)    김윤섭    최장석              불합격      진입불량          
  29   달금               출발미합(신)     한   암    2  이동하(기수)        안해양    임흥호              불합격      출발불량          
  39   점순이고           출발미합(신)     한   암    2  김태훈(기수)        우창구    정기환              불합격      진입불량          
  41   마이티뉴           출발지정(재)     뉴   거    5  이태호(주로조교)    서홍수    조병태              불합격      진입불량          
  47   금성환희           출발지정(재)     한   수    3  김옥성(기수)        손영표    조창규              불합격      출발자세불량      
  56   신의여인           출발미합(신)     한   암    2  이경열(주로조교)    임봉춘    김진태a             불합격      진입불량          
  63   나올행복           출발미합(신)     한   암    2  하리(외국인 말관리사)  곽영효    이경호a             불합격      진입불량          
  64   파워풀화성         출발미합(신)     한   수    2  유승완(기수)        곽영효    조중호              불합격      출발자세불량      
   3   팍스누리           출발지정(신)     한   암    3  김진수(주로조교)    안해양    임두인              합격                          
   4   검은질주           출발미합(신)     한   수    2  송석현(주로조교)    박윤규    박덕희              합격                          
   5   월드킹맨           출발미합(신)     한   수    2  김인선(주로조교)    박윤규    박평양              합격                          
   6   거센강자           출발지정(주)     한   암    3  윤영민(기수)        이신영    강석대              합격                          
   7   꿀팁               출발미합(신)     한   수    3  조만근(주로조교)    구자흥    고창범              합격                          
   8   원더풀룰즈         출발미합(신)     한   수    3  임다빈(기수)        구자흥    (주)녹원목장        합격                          
   9   천마챗             출발미합(신)     한   수    2  예병연(주로조교)    최봉주    조금제              합격                          
  10   호크의영광         출발지정(재)     한   거    6  최원준(기수)        최봉주    오호극              합격                          
  13   베스트선           출발미합(신)     한   수    2  송재철(기수)        박천서    베스트샤인조합      합격                          
  15   데블케이           출발(합격유보)   한   수    3  쇼엡(외국인 말관리사)  강환민    강경운              합격                          
  16   너트플레이         출발(합격유보)   한   수    2  장세현(주로조교)    최영주    조현영              합격                          
  17   고마나루           출발(합격유보)   한   수    3  김태훈(기수)        구자흥    김근영              합격                          
  18   퍼플월드           출발(합격유보)   한   거    3  송석현(주로조교)    박윤규    퍼플라인            합격                          
  21   위드럭키           출발미합(신)     한   암    3  박동혁(주로조교)    김윤섭    김광영              합격                          
  22   달타령             출발(합격유보)   한   암    4  정필화(주로조교)    김윤섭    박태준              합격                          
  23   문학다이얼         출발(합격유보)   미   수    3  백종수(주로조교)    김윤섭    권경자              합격                          
