

제목 : 2022년 10월 27일 출발조교현황

---------------------------------------------------------------------
   소속조 조번   마명              기승자               비고 
---------------------------------------------------------------------
     1조  9      에이펙스          쿠날(외국인/트랙라이더) 양호               
     1조  24     문학젠야타        최범현(기수)         양호               
     1조  31     라온에어포스      박태종(기수)         출발자세불량       
     1조  33     라온더특급        김정준(기수)         양호               
     1조  34     라온더와일드      김태희(기수)         양호               
     1조  35     라온슈퍼킹        보파나(외국인/트랙라이더) 출발자세불량       
     2조  16     쏘아라가가        황주현(주로조교)     양호               
     2조  27     트레비트          성낙일(주로조교)     양호               
     3조  10     러너몬스터        조재로(기수)         양호               
     3조  13     블루아치          함완식(기수)         양호               
     3조  28     질주본            김정준(기수)         양호               
     4조  19     걸작맨            송석현(주로조교)     양호               
     4조  28     브이퀸            이상무(외국인/트랙라이더) 진입불량           
     5조  1      점순이고          임택열(주로조교)     양호               
     5조  15     골드마이티        이형용(주로조교)     양호               
     5조  21     골드케이          조만근(외국인/트랙라이더) 진입불량           
     5조  28     제타마스터        장추열(기수)         양호               
     5조  39     화씨벽            장추열(기수)         양호               
     6조  4      새내윈            이성옥(주로조교)     양호               
     6조  13     용비서울          이혁(기수)           양호               
     6조  16     선더브라보        송재철(기수)         양호               
     6조  19     내길의별          이혁(기수)           진입불량           
     6조  22     베스트플랜        안토니오(기수)       양호               
     6조  28     킹마운틴          박병윤(기수)         양호               
     6조  29     글로벌캐슬        조한별(기수)         양호               
     6조  34     그린폭주          윤태혁(기수)         진입불량           
     6조  신마   맥스마            김태응(주로조교)     양호               
     6조  신마   문학이글          김창환(주로조교)     양호               
     7조  15     사려니퀸          신용대(주로조교)     양호               
     8조  11     유니콘킹덤        김용근(기수)         양호               
     8조  17     퍼지데이          신용민(주로조교)     양호               
     9조  4      히든브레인        이동하(기수)         양호               
     9조  22     중추부사          장별(주로조교)       양호               
     9조  32     대지의여인        박태종(기수)         양호               
    10조  9      두손챔프          임다빈(기수)         양호               
    10조  12     레이스위너        장추열(기수)         양호               
    10조  30     문학어플리트      하영웅(외국인/트랙라이더) 양호               
    11조  17     나올스카이        김태희(기수)         양호               
