rcity,grade,distance,rec,races,bet,refund,hit,refund_rate,roi,sample_from,sample_to
부산,1등급,1200,A5,9,9000,6390.0,3,0.71,-0.29,20231201,20251221
부산,1등급,1400,A5,9,9000,4200.0,2,0.4666666666666667,-0.5333333333333333,20231201,20251221
부산,1등급,1600,rBOX4,3,1200,3650.0,3,3.0416666666666665,2.0416666666666665,20231201,20251221
부산,1등급,1800,rBOX6,7,14000,81610.0,4,5.829285714285715,4.829285714285715,20231201,20251221
부산,1등급,2000,A5,12,12000,20430.0,7,1.7025,0.7025,20231201,20251221
부산,1등급,2200,A6,1,1500,1310.0,1,0.8733333333333333,-0.12666666666666668,20231201,20251221
부산,2등급,1200,rBOX5,15,15000,20480.0,6,1.3653333333333333,0.36533333333333334,20231201,20251221
부산,2등급,1400,rBOX4,11,4400,10120.0,1,2.3,1.3,20231201,20251221
부산,2등급,1600,rBOX4,11,4400,4820.0,6,1.0954545454545455,0.09545454545454546,20231201,20251221
부산,2등급,1800,A6,15,22500,45470.0,5,2.020888888888889,1.020888888888889,20231201,20251221
부산,2등급,2000,A6,12,18000,47850.0,5,2.658333333333333,1.6583333333333334,20231201,20251221
부산,국3등급,1200,A4,11,6600,3880.0,3,0.5878787878787879,-0.4121212121212121,20231201,20251221
부산,국3등급,1400,rBOX4,16,6400,29300.0,3,4.578125,3.578125,20231201,20251221
부산,국3등급,1600,A6,12,18000,10930.0,4,0.6072222222222222,-0.3927777777777778,20231201,20251221
부산,국3등급,1800,A4,28,16800,30080.0,7,1.7904761904761906,0.7904761904761904,20231201,20251221
부산,국4등급,1200,rBOX6,35,70000,224650.0,19,3.209285714285714,2.209285714285714,20231201,20251221
부산,국4등급,1300,A4,1,600,0.0,0,0.0,-1.0,20231201,20251221
부산,국4등급,1400,rBOX5,40,40000,59070.0,11,1.47675,0.47675,20231201,20251221
부산,국4등급,1600,rBOX4,33,13200,25460.0,5,1.9287878787878787,0.9287878787878788,20231201,20251221
부산,국4등급,1800,rBOX4,46,18400,68840.0,11,3.741304347826087,2.741304347826087,20231201,20251221
부산,국5등급,1200,A6,102,153000,205640.0,45,1.3440522875816994,0.34405228758169937,20231201,20251221
부산,국5등급,1300,A5,86,86000,98900.0,25,1.15,0.15,20231201,20251221
부산,국5등급,1400,rBOX4,104,41600,138520.0,23,3.3298076923076922,2.3298076923076922,20231201,20251221
부산,국5등급,1600,rBOX4,56,22400,57480.0,13,2.5660714285714286,1.5660714285714286,20231201,20251221
부산,국5등급,1800,A6,52,78000,97920.0,15,1.2553846153846153,0.2553846153846154,20231201,20251221
부산,국6등급,1200,rBOX4,15,6000,11010.0,6,1.835,0.835,20231201,20251221
부산,국6등급,1300,A4,66,39600,76990.0,28,1.9441919191919192,0.9441919191919191,20231201,20251221
부산,국6등급,1400,rBOX4,76,30400,50040.0,23,1.6460526315789474,0.6460526315789473,20231201,20251221
부산,국6등급,1600,rBOX4,50,20000,43260.0,19,2.163,1.163,20231201,20251221
부산,국OPEN,1200,A4,4,2400,1970.0,3,0.8208333333333333,-0.17916666666666667,20231201,20251221
부산,국OPEN,1400,A4,5,3000,7870.000000000001,2,2.6233333333333335,1.6233333333333337,20231201,20251221
부산,국OPEN,1600,rBOX6,5,10000,22890.0,3,2.289,1.289,20231201,20251221
부산,국OPEN,1800,A4,5,3000,1980.0,3,0.66,-0.34,20231201,20251221
부산,국OPEN,2000,A4,2,1200,30650.0,1,25.541666666666668,24.541666666666668,20231201,20251221
부산,혼3등급,1200,rBOX6,20,40000,82350.0,12,2.05875,1.05875,20231201,20251221
부산,혼3등급,1400,A5,16,16000,87680.0,9,5.48,4.48,20231201,20251221
부산,혼3등급,1600,A4,15,9000,16050.0,6,1.7833333333333334,0.7833333333333333,20231201,20251221
부산,혼3등급,1800,rBOX4,30,12000,14840.0,7,1.2366666666666666,0.23666666666666666,20231201,20251221
부산,혼4등급,1200,rBOX5,27,27000,50690.0,7,1.8774074074074074,0.8774074074074074,20231201,20251221
부산,혼4등급,1300,rBOX6,7,14000,75390.0,5,5.385,4.385,20231201,20251221
부산,혼4등급,1400,rBOX4,27,10800,17550.0,5,1.625,0.625,20231201,20251221
부산,혼4등급,1600,rBOX5,40,40000,61460.0,14,1.5365,0.5365,20231201,20251221
