년월,races,m_BOX4_bet,m_BOX4_refund,m_BOX4_hit,m_BOX6_bet,m_BOX6_refund,m_BOX6_hit,p_BOX4_bet,p_BOX4_refund,p_BOX4_hit,p_BOX6_bet,p_BOX6_refund,p_BOX6_hit,m_BOX4_refund_rate,m_BOX4_roi,m_BOX6_refund_rate,m_BOX6_roi,p_BOX4_refund_rate,p_BOX4_roi,p_BOX6_refund_rate,p_BOX6_roi
202312,152,60800,144170.0,32,304000,391110.0,72,60800,84880.0,27,304000,317220.0,66,2.371217105263158,1.3712171052631579,1.2865460526315788,0.28654605263157895,1.3960526315789474,0.3960526315789474,1.0434868421052632,0.04348684210526316
202401,121,48400,33890.0,11,242000,250280.0,40,48400,94290.0,21,242000,215980.0,54,0.7002066115702479,-0.29979338842975206,1.0342148760330578,0.03421487603305785,1.9481404958677686,0.9481404958677686,0.8924793388429753,-0.1075206611570248
202402,82,32800,15060.0,8,164000,56250.0,18,32800,47320.0,16,164000,127150.0,30,0.45914634146341465,-0.5408536585365854,0.3429878048780488,-0.6570121951219512,1.4426829268292682,0.4426829268292683,0.7753048780487805,-0.22469512195121952
202403,156,62400,86160.0,20,312000,221580.0,60,62400,63170.0,30,312000,291570.0,75,1.3807692307692307,0.38076923076923075,0.7101923076923077,-0.2898076923076923,1.0123397435897437,0.01233974358974359,0.9345192307692308,-0.06548076923076923
202404,125,50000,55000.0,27,250000,283100.0,55,50000,68450.0,27,250000,278810.0,63,1.1,0.1,1.1324,0.1324,1.369,0.369,1.11524,0.11524
202405,133,53200,66170.0,28,266000,380390.0,74,53200,42340.0,26,266000,326190.0,75,1.243796992481203,0.243796992481203,1.4300375939849623,0.4300375939849624,0.7958646616541354,-0.20413533834586467,1.2262781954887219,0.2262781954887218
202406,145,58000,95420.0,34,290000,257900.0,71,58000,103100.0,36,290000,303770.0,78,1.6451724137931034,0.6451724137931034,0.8893103448275862,-0.11068965517241379,1.7775862068965518,0.7775862068965518,1.0474827586206896,0.04748275862068965
202407,104,41600,47520.0,19,208000,362600.0,49,41600,33680.0,17,208000,350350.0,47,1.1423076923076922,0.1423076923076923,1.7432692307692308,0.7432692307692308,0.8096153846153846,-0.19038461538461537,1.684375,0.684375
202408,127,50800,40520.0,25,254000,229830.0,63,50800,47180.0,29,254000,172250.0,59,0.7976377952755905,-0.20236220472440944,0.9048425196850394,-0.09515748031496063,0.9287401574803149,-0.07125984251968503,0.6781496062992126,-0.3218503937007874
202409,93,37200,55380.0,22,186000,207760.0,40,37200,133390.0,24,186000,320590.0,43,1.488709677419355,0.48870967741935484,1.116989247311828,0.11698924731182796,3.585752688172043,2.585752688172043,1.7236021505376344,0.7236021505376344
