년월,경마장,경주일,경주번호,등급,경주거리,출주두수,신마수,삼복승식배당율,실제_top3_마번,m_BOX4_picks,m_BOX6_picks,p_BOX4_picks,p_BOX6_picks,m_BOX4_hit,m_BOX6_hit,p_BOX4_hit,p_BOX6_hit,m_BOX4_bet,m_BOX6_bet,p_BOX4_bet,p_BOX6_bet,m_BOX4_refund,m_BOX6_refund,p_BOX4_refund,p_BOX6_refund,bet_unit
202312,부산,20231201,3,국6등급,1300.0,11,0,45.6,"4,8,11","11,4,6,2","11,4,6,2,5,7","4,11,6,2","4,11,6,2,5,7",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231201,4,국5등급,1300.0,11,0,4.5,"4,6,9","9,4,6,11","9,4,6,11,1,10","9,4,6,11","9,4,6,11,1,10",1,1,1,1,400,2000,400,2000,450.0,450.0,450.0,450.0,100
202312,부산,20231201,5,국5등급,1200.0,11,0,1746.8,"1,3,7","9,1,10,6","9,1,10,6,11,7","9,6,1,10","9,6,1,10,11,5",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231201,6,국5등급,1400.0,11,0,24.3,"2,7,11","11,10,2,8","11,10,2,8,4,7","11,10,2,8","11,10,2,8,4,7",0,1,0,1,400,2000,400,2000,0.0,2430.0,0.0,2430.0,100
202312,부산,20231201,7,혼4등급,1400.0,11,0,196.1,"2,4,8","9,3,1,11","9,3,1,11,2,4","9,3,1,11","9,3,1,11,2,10",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231201,8,국4등급,1800.0,11,0,979.7,"3,5,7","5,4,7,9","5,4,7,9,10,11","4,9,5,10","4,9,5,10,11,6",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231201,9,2등급,1800.0,11,0,80.7,"5,7,10","1,7,11,10","1,7,11,10,4,3","1,11,7,10","1,11,7,10,3,4",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231203,1,국6등급,1300.0,11,1,6.5,"5,10,11","4,7,11,10","4,7,11,10,5,9","4,7,11,10","4,7,11,10,5,9",0,1,0,1,400,2000,400,2000,0.0,650.0,0.0,650.0,100
202312,부산,20231203,2,국6등급,1400.0,11,0,12.2,"1,3,8","8,3,9,2","8,3,9,2,6,1","8,3,9,6","8,3,9,6,1,4",0,1,0,1,400,2000,400,2000,0.0,1220.0,0.0,1220.0,100
202312,부산,20231203,3,국5등급,1800.0,11,0,27.9,"2,7,11","11,7,2,10","11,7,2,10,5,3","11,7,2,10","11,7,2,10,5,6",1,1,1,1,400,2000,400,2000,2790.0,2790.0,2790.0,2790.0,100
202312,부산,20231203,4,국3등급,1800.0,9,0,27.7,"1,2,7","1,7,5,9","1,7,5,9,8,2","1,7,5,9","1,7,5,9,6,8",0,1,0,0,400,2000,400,2000,0.0,2770.0,0.0,0.0,100
202312,부산,20231203,5,혼OPEN,1200.0,10,0,106.7,"2,7,8","8,9,6,3","8,9,6,3,10,4","8,9,6,10","8,9,6,10,3,4",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231203,6,1등급,1400.0,11,0,14.2,"5,6,10","10,8,11,4","10,8,11,4,5,3","10,8,11,4","10,8,11,4,3,7",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231208,2,국6등급,1300.0,9,1,29.4,"2,3,5","3,5,2,8","3,5,2,8,1,6","3,5,2,6","3,5,2,6,8,1",1,1,1,1,400,2000,400,2000,2940.0,2940.0,2940.0,2940.0,100
202312,부산,20231208,4,국6등급,1400.0,10,0,13.7,"3,8,9","9,3,8,5","9,3,8,5,4,10","9,3,8,5","9,3,8,5,4,10",1,1,1,1,400,2000,400,2000,1370.0,1370.0,1370.0,1370.0,100
202312,부산,20231208,5,국5등급,1400.0,11,0,216.2,"2,8,10","7,3,2,9","7,3,2,9,1,10","7,3,2,9","7,3,2,9,1,10",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231208,6,국5등급,1300.0,11,0,23.0,"3,10,11","11,10,1,9","11,10,1,9,7,4","11,10,1,9","11,10,1,9,7,4",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231208,7,국5등급,1200.0,11,0,12.6,"1,8,9","9,8,11,4","9,8,11,4,5,10","9,8,11,4","9,8,11,4,1,5",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,1260.0,100
202312,부산,20231208,8,혼4등급,1800.0,11,0,76.6,"1,2,3","8,10,9,3","8,10,9,3,5,7","8,10,9,3","8,10,9,3,5,7",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231208,9,혼3등급,1400.0,11,0,43.2,"7,8,11","8,2,7,11","8,2,7,11,10,6","8,2,7,11","8,2,7,11,6,10",1,1,1,1,400,2000,400,2000,4320.0,4320.0,4320.0,4320.0,100
202312,부산,20231210,3,국5등급,1600.0,11,0,13.4,"2,5,11","2,9,3,7","2,9,3,7,5,11","2,9,10,3","2,9,10,3,5,11",0,1,0,1,400,2000,400,2000,0.0,1340.0,0.0,1340.0,100
202312,부산,20231210,4,국4등급,1200.0,11,1,13.6,"1,4,6","1,4,6,7","1,4,6,7,9,2","11,1,4,6","11,1,4,6,7,8",1,1,1,1,400,2000,400,2000,1360.0,1360.0,1360.0,1360.0,100
202312,부산,20231210,5,국OPEN,1400.0,16,0,75.9,"4,8,9","9,14,7,4","9,14,7,4,8,6","9,14,7,4","9,14,7,4,8,6",0,1,0,1,400,2000,400,2000,0.0,7590.000000000001,0.0,7590.000000000001,100
202312,부산,20231210,6,국OPEN,1800.0,13,0,7.9,"6,8,11","8,6,7,13","8,6,7,13,11,12","8,13,6,11","8,13,6,11,7,2",0,1,1,1,400,2000,400,2000,0.0,790.0,790.0,790.0,100
202312,부산,20231215,5,국5등급,1200.0,11,0,407.8,"1,4,10","10,1,3,2","10,1,3,2,4,5","10,3,1,2","10,3,1,2,5,6",0,1,0,0,400,2000,400,2000,0.0,40780.0,0.0,0.0,100
202312,부산,20231215,6,국5등급,1400.0,11,0,88.8,"3,5,8","10,8,3,11","10,8,3,11,9,1","10,8,3,11","10,8,3,11,1,9",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231215,7,혼4등급,1600.0,11,0,365.0,"2,9,10","11,4,9,2","11,4,9,2,5,10","11,4,9,2","11,4,9,2,3,5",0,1,0,0,400,2000,400,2000,0.0,36500.0,0.0,0.0,100
202312,부산,20231215,8,혼3등급,1800.0,11,0,105.0,"1,5,6","4,7,2,1","4,7,2,1,6,10","4,7,2,6","4,7,2,6,1,9",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231215,9,혼4등급,1600.0,10,0,50.8,"2,6,9","9,1,6,8","9,1,6,8,3,4","9,1,8,6","9,1,8,6,4,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231217,1,국6등급,1400.0,10,0,5.7,"4,7,10","7,4,2,10","7,4,2,10,8,3","7,4,2,10","7,4,2,10,8,3",1,1,1,1,400,2000,400,2000,570.0,570.0,570.0,570.0,100
202312,부산,20231217,2,국5등급,1200.0,11,0,144.2,"2,5,8","2,8,7,11","2,8,7,11,3,4","2,1,7,11","2,1,7,11,4,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231217,3,국5등급,1300.0,11,0,108.1,"2,4,7","4,2,11,9","4,2,11,9,3,10","4,2,11,10","4,2,11,10,9,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231217,4,국5등급,1600.0,11,0,65.8,"4,6,9","11,7,3,8","11,7,3,8,6,9","11,7,8,3","11,7,8,3,4,6",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231217,5,국4등급,1800.0,11,0,32.1,"1,2,4","4,2,1,6","4,2,1,6,3,9","4,2,1,6","4,2,1,6,9,3",1,1,1,1,400,2000,400,2000,3210.0,3210.0,3210.0,3210.0,100
202312,부산,20231217,6,2등급,1200.0,11,0,139.5,"2,4,8","5,10,4,2","5,10,4,2,7,6","5,2,10,7","5,2,10,7,1,6",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231222,2,국6등급,1300.0,9,0,69.1,"5,7,8","1,5,7,2","1,5,7,2,3,8","1,5,7,2","1,5,7,2,3,8",0,1,0,1,400,2000,400,2000,0.0,6909.999999999999,0.0,6909.999999999999,100
202312,부산,20231222,3,국5등급,1300.0,9,0,6.2,"1,2,3","1,3,2,6","1,3,2,6,7,9","1,3,6,2","1,3,6,2,7,9",1,1,1,1,400,2000,400,2000,620.0,620.0,620.0,620.0,100
202312,부산,20231222,4,국5등급,1200.0,10,0,24.1,"2,4,7","4,9,7,10","4,9,7,10,6,5","7,4,9,5","7,4,9,5,6,10",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231222,5,국4등급,1400.0,9,0,23.0,"3,5,9","9,5,1,8","9,5,1,8,2,6","9,5,1,8","9,5,1,8,2,6",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231222,6,국4등급,1400.0,10,0,52.9,"2,8,10","10,8,6,4","10,8,6,4,5,2","10,8,6,4","10,8,6,4,5,2",0,1,0,1,400,2000,400,2000,0.0,5290.0,0.0,5290.0,100
202312,부산,20231222,7,혼4등급,1800.0,11,0,307.7,"2,7,8","7,4,6,11","7,4,6,11,9,5","4,6,7,11","4,6,7,11,2,1",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231222,8,혼3등급,1600.0,11,1,101.4,"4,8,10","6,4,10,9","6,4,10,9,2,11","6,4,9,10","6,4,9,10,2,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231224,2,국6등급,1300.0,9,1,3.2,"6,7,8","6,8,7,4","6,8,7,4,9,1","6,8,7,4","6,8,7,4,9,1",1,1,1,1,400,2000,400,2000,320.0,320.0,320.0,320.0,100
202312,부산,20231224,3,국6등급,1400.0,11,0,239.5,"2,9,11","2,3,8,6","2,3,8,6,9,5","2,3,8,6","2,3,8,6,9,11",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,23950.0,100
202312,부산,20231224,4,국6등급,1600.0,10,0,276.8,"4,9,10","9,2,6,5","9,2,6,5,10,7","9,2,6,5","9,2,6,5,3,10",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231224,5,국5등급,1800.0,11,0,15.5,"6,7,8","8,7,9,4","8,7,9,4,2,3","8,9,7,3","8,9,7,3,2,6",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,1550.0,100
202312,부산,20231224,6,국5등급,1400.0,11,1,31.6,"2,3,5","11,5,10,4","11,5,10,4,8,1","11,5,10,4","11,5,10,4,8,1",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231224,7,국5등급,1200.0,11,0,20.0,"2,4,7","7,6,4,2","7,6,4,2,5,11","7,10,6,5","7,10,6,5,2,8",1,1,0,0,400,2000,400,2000,2000.0,2000.0,0.0,0.0,100
202312,부산,20231224,8,혼4등급,1200.0,11,0,12.4,"2,5,7","2,9,10,5","2,9,10,5,6,1","2,10,9,6","2,10,9,6,1,11",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202312,부산,20231224,9,국3등급,1200.0,11,0,582.2,"2,3,11","4,10,7,1","4,10,7,1,6,3","4,7,1,6","4,7,1,6,9,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
