경마장,경주일,년월,경주번호,등급,경주거리,출주두수,신마수,정산여부,actual_top3,m_rank_top4,r_pop_top4,m_rank_top6,r_pop_top6,overlap_1to4,m_BOX4_hit,m_BOX4_refund,m_BOX4_bet,r_BOX4_hit,r_BOX4_refund,r_BOX4_bet,m_BOX6_hit,m_BOX6_refund,m_BOX6_bet,r_BOX6_hit,r_BOX6_refund,r_BOX6_bet
부산,20231201,202312,3,국6등급,1300.0,11,0,SETTLED,"4,8,11","11,4,6,2","4,11,6,2","11,4,6,2,5,7","4,11,6,2,5,7",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231201,202312,4,국5등급,1300.0,11,0,SETTLED,"4,6,9","9,4,6,11","9,4,6,11","9,4,6,11,1,10","9,4,6,11,1,10",4,1,450.0,400,1,450.0,400,1,450.0,2000,1,450.0,2000
부산,20231201,202312,5,국5등급,1200.0,11,0,SETTLED,"1,3,7","9,1,10,6","9,6,1,10","9,1,10,6,11,7","9,6,1,10,11,5",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231201,202312,6,국5등급,1400.0,11,0,SETTLED,"2,7,11","11,10,2,8","11,10,2,8","11,10,2,8,4,7","11,10,2,8,4,7",4,0,0.0,400,0,0.0,400,1,2430.0,2000,1,2430.0,2000
부산,20231201,202312,7,혼4등급,1400.0,11,0,SETTLED,"2,4,8","9,3,1,11","9,3,1,11","9,3,1,11,2,4","9,3,1,11,2,10",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231201,202312,8,국4등급,1800.0,11,0,SETTLED,"3,5,7","5,4,7,9","4,9,5,10","5,4,7,9,10,11","4,9,5,10,11,6",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231201,202312,9,2등급,1800.0,11,0,SETTLED,"5,7,10","1,7,11,10","1,11,7,10","1,7,11,10,4,3","1,11,7,10,3,4",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231203,202312,1,국6등급,1300.0,11,1,SETTLED,"5,10,11","4,7,11,10","4,7,11,10","4,7,11,10,5,9","4,7,11,10,5,9",4,0,0.0,400,0,0.0,400,1,650.0,2000,1,650.0,2000
부산,20231203,202312,2,국6등급,1400.0,11,0,SETTLED,"1,3,8","8,3,9,2","8,3,9,6","8,3,9,2,6,1","8,3,9,6,1,4",3,0,0.0,400,0,0.0,400,1,1220.0,2000,1,1220.0,2000
부산,20231203,202312,3,국5등급,1800.0,11,0,SETTLED,"2,7,11","11,7,2,10","11,7,2,10","11,7,2,10,5,3","11,7,2,10,5,6",4,1,2790.0,400,1,2790.0,400,1,2790.0,2000,1,2790.0,2000
부산,20231203,202312,4,국3등급,1800.0,9,0,SETTLED,"1,2,7","1,7,5,9","1,7,5,9","1,7,5,9,8,2","1,7,5,9,6,8",4,0,0.0,400,0,0.0,400,1,2770.0,2000,0,0.0,2000
부산,20231203,202312,5,혼OPEN,1200.0,10,0,SETTLED,"2,7,8","8,9,6,3","8,9,6,10","8,9,6,3,10,4","8,9,6,10,3,4",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231203,202312,6,1등급,1400.0,11,0,SETTLED,"5,6,10","10,8,11,4","10,8,11,4","10,8,11,4,5,3","10,8,11,4,3,7",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231208,202312,2,국6등급,1300.0,9,1,SETTLED,"2,3,5","3,5,2,8","3,5,2,6","3,5,2,8,1,6","3,5,2,6,8,1",3,1,2940.0,400,1,2940.0,400,1,2940.0,2000,1,2940.0,2000
부산,20231208,202312,4,국6등급,1400.0,10,0,SETTLED,"3,8,9","9,3,8,5","9,3,8,5","9,3,8,5,4,10","9,3,8,5,4,10",4,1,1370.0,400,1,1370.0,400,1,1370.0,2000,1,1370.0,2000
부산,20231208,202312,5,국5등급,1400.0,11,0,SETTLED,"2,8,10","7,3,2,9","7,3,2,9","7,3,2,9,1,10","7,3,2,9,1,10",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231208,202312,6,국5등급,1300.0,11,0,SETTLED,"3,10,11","11,10,1,9","11,10,1,9","11,10,1,9,7,4","11,10,1,9,7,4",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
