경마장,조합개수,순위,전략keys,전략명,경주수,적중경주수,적중율,총베팅액,총환수액,이익금액,ROI,구멍수,프리셋
서울,2,0,anchor1_57_24 + anchor1_58_24,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍,215,10,0.046511627906976744,451500.0,402210.0,-49290.0,0.8908305647840532,21,안정형
서울,4,0,anchor1_57_24 + anchor1_24_58 + anchor1_58_24 + anchor1_25,1축(5~7) / 2~4 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍,215,31,0.14418604651162792,967500.0,844170.0,-123330.0,0.8725271317829457,45,균형형
서울,6,0,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_25_68 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~5) / 6~8 삼쌍 + 1축,2축 / 3~7 삼쌍",215,32,0.14883720930232558,1333000.0,1122380.0,-210620.0,0.8419954988747187,62,공격형
서울,1,1,anchor2_37_trifecta,2축(3~7) 삼쌍,215,15,0.06976744186046512,430000.0,675550.0,245550.0,1.5710465116279069,20,
서울,1,2,anchor2_38_trifecta,2축(3~8) 삼쌍,215,20,0.09302325581395349,645000.0,834530.0,189530.0,1.29384496124031,30,
서울,1,3,anchor2_137_trifecta,"2축(1,3~7) 삼쌍",215,21,0.09767441860465116,645000.0,720160.0,75160.0,1.1165271317829457,30,
서울,1,4,anchor1_57_24,1축(5~7) / 2~4 삼쌍,215,9,0.04186046511627907,193500.0,198990.0,5490.0,1.0283720930232558,9,
서울,1,5,anchor2_36_trifecta,2축(3~6) 삼쌍,215,9,0.04186046511627907,258000.0,237870.0,-20130.0,0.9219767441860465,12,
서울,2,1,anchor2_37_trifecta + top4_box_trio,2축(3~7) 삼쌍 + 1~4 4복조 삼복,215,36,0.16744186046511628,516000.0,727190.0,211190.0,1.4092829457364342,24,
서울,2,2,anchor2_37_trifecta + anchor1_24_trio,2축(3~7) 삼쌍 + 1축(2~4) 삼복,215,31,0.14418604651162792,494500.0,695820.0,201320.0,1.407118301314459,23,
서울,2,3,anchor2_38_trifecta + anchor2_37_trifecta,2축(3~8) 삼쌍 + 2축(3~7) 삼쌍,215,20,0.09302325581395349,1075000.0,1510080.0,435080.0,1.4047255813953488,50,
서울,2,4,anchor1_57_24 + anchor2_37_trifecta,1축(5~7) / 2~4 삼쌍 + 2축(3~7) 삼쌍,215,24,0.11162790697674418,623500.0,874540.0,251040.0,1.4026303127506015,29,
서울,2,5,anchor2_37_trifecta + anchor1_25_trio,2축(3~7) 삼쌍 + 1축(2~5) 삼복,215,46,0.21395348837209302,559000.0,759340.0,200340.0,1.3583899821109124,26,
서울,3,1,anchor1_57_24 + anchor2_38_trifecta + anchor2_37_trifecta,1축(5~7) / 2~4 삼쌍 + 2축(3~8) 삼쌍 + 2축(3~7) 삼쌍,215,29,0.13488372093023257,1268500.0,1709070.0,440570.0,1.347315727236894,59,
