ym,r_pop,total,top1,top1_pct
202208,1,40,4,10.00
202208,2,45,1,2.22
202208,3,31,1,3.23
202208,4,16,1,6.25
202208,5,20,2,10.00
202208,6,8,0,0.00
202208,7,13,1,7.69
202208,8,12,0,0.00
202208,9,13,2,15.38
202208,10,4,0,0.00
202208,11,8,0,0.00
202208,12,5,0,0.00
202209,1,71,3,4.23
202209,2,68,1,1.47
202209,3,39,3,7.69
202209,4,35,0,0.00
202209,5,23,2,8.70
202209,6,32,1,3.12
202209,7,26,0,0.00
202209,8,15,0,0.00
202209,9,13,0,0.00
202209,10,13,0,0.00
202209,11,12,0,0.00
202209,12,21,1,4.76
202210,1,44,2,4.55
202210,2,69,0,0.00
202210,3,61,5,8.20
202210,4,50,1,2.00
202210,5,59,0,0.00
202210,6,36,1,2.78
202210,7,35,1,2.86
202210,8,35,1,2.86
202210,9,24,2,8.33
202210,10,26,1,3.85
202210,11,28,0,0.00
202210,12,20,1,5.00
202211,1,66,2,3.03
202211,2,87,3,3.45
202211,3,45,2,4.44
202211,4,34,2,5.88
202211,5,43,0,0.00
202211,6,30,0,0.00
202211,7,26,0,0.00
202211,8,19,0,0.00
202211,9,27,1,3.70
202211,10,21,0,0.00
202211,11,23,0,0.00
202211,12,21,4,19.05
202212,1,67,0,0.00
202212,2,61,0,0.00
202212,3,62,0,0.00
202212,4,42,1,2.38
202212,5,44,0,0.00
202212,6,40,1,2.50
202212,7,28,1,3.57
202212,8,16,0,0.00
202212,9,33,1,3.03
202212,10,19,0,0.00
202212,11,27,2,7.41
202212,12,23,1,4.35
202301,1,117,25,21.37
202301,2,116,22,18.97
202301,3,116,12,10.34
202301,4,115,14,12.17
202301,5,115,4,3.48
202301,6,113,6,5.31
202301,7,110,5,4.55
202301,8,109,5,4.59
202301,9,107,3,2.80
202301,10,104,6,5.77
202301,11,97,8,8.25
202301,12,86,1,1.16
202302,1,150,42,28.00
202302,2,150,24,16.00
202302,3,150,14,9.33
202302,4,150,18,12.00
202302,5,150,13,8.67
202302,6,148,7,4.73
202302,7,147,6,4.08
202302,8,142,7,4.93
202302,9,131,6,4.58
202302,10,120,3,2.50
202302,11,103,2,1.94
202302,12,87,2,2.30
202303,1,148,31,20.95
202303,2,148,27,18.24
202303,3,148,17,11.49
202303,4,148,17,11.49
202303,5,148,15,10.14
202303,6,147,7,4.76
202303,7,146,9,6.16
202303,8,142,4,2.82
202303,9,132,5,3.79
202303,10,110,6,5.45
202303,11,86,3,3.49
202303,12,64,0,0.00
202304,1,167,39,23.35
202304,2,167,33,19.76
202304,3,167,16,9.58
202304,4,167,24,14.37
202304,5,166,15,9.04
202304,6,166,15,9.04
202304,7,164,11,6.71
202304,8,160,5,3.12
202304,9,135,5,3.70
202304,10,115,2,1.74
202304,11,89,1,1.12
202304,12,28,0,0.00
202305,1,138,44,31.88
202305,2,138,15,10.87
202305,3,138,13,9.42
